Name,Handedness,Height,Weight,Avg,HR,Successful Player,BMI,BMI of Player,Height of Player,Weight of Player
Tom Brown,R,73,170,0,0,0,22.4263,22,71,166
Denny Lemaster,R,73,182,0.13,4,4.13,24.0094,24,71,182
Joe Nolan,L,71,175,0.263,27,27.263,24.4049,24,69,174
Denny Doyle,L,69,175,0.25,16,16.25,25.8402,26,67,174
Jose Cardenal,R,70,150,0.275,138,138.275,21.5204,22,69,142
Mike Ryan,R,74,205,0.193,28,28.193,26.3176,26,73,198
Fritz Peterson,B,72,185,0.159,2,2.159,25.0878,25,71,182
Dick Bertell,R,72,200,0.25,10,10.25,27.1219,27,71,198
Rod Kanehl,R,73,180,0.241,6,6.241,23.7455,24,71,174
Ozzie Osborn,R,74,195,0,0,0,25.0338,25,73,190
John LaRose,L,73,185,0,0,0,24.4051,24,71,182
Jeff Byrd,R,75,195,0,0,0,24.3707,24,73,190
Juan Bonilla,R,69,170,0.256,7,7.256,25.1019,25,67,166
Frank Tepedino,L,71,185,0.241,6,6.241,25.7994,26,69,182
Jerry Kutzler,L,73,175,0,0,0,23.0859,23,71,174
Rick Wise,R,73,180,0.195,15,15.195,23.7455,24,71,174
Darrell Evans,L,74,200,0.248,414,414.248,25.6757,26,73,198
Buck Martinez,R,70,190,0.225,58,58.225,27.2592,27,69,190
John Wockenfuss,R,72,190,0.262,86,86.262,25.7658,26,71,190
Tommy McCraw,L,72,183,0.246,75,75.246,24.8166,25,71,182
Jeff Barkley,B,75,185,0,0,0,23.1209,23,73,182
Eric Wilkins,R,73,190,0,0,0,25.0647,25,71,190
Britt Burns,L,77,215,0,0,0,25.4925,25,75,213
Lee Lacy,R,73,175,0.286,91,91.286,23.0859,23,71,174
Pete Rose,B,71,192,0.303,160,160.303,26.7756,27,69,190
Danny Walton,R,72,195,0.223,28,28.223,26.4439,26,71,190
Bobby Cox,R,71,180,0.225,9,9.225,25.1022,25,69,174
Brad Wellman,R,72,170,0.231,6,6.231,23.0536,23,71,166
Jeff Newman,R,74,215,0.224,63,63.224,27.6014,28,73,213
Pedro Gonzalez,R,72,176,0.244,8,8.244,23.8673,24,71,174
Nardi Contreras,B,74,193,0,0,0,24.777,25,73,190
Tommie Reynolds,R,74,190,0.226,12,12.226,24.3919,24,73,190
Gene Clines,R,69,170,0.277,5,5.277,25.1019,25,67,166
Jim Hickman,R,75,192,0.252,159,159.252,23.9957,24,73,190
Jack Billingham,R,76,195,0.111,0,0.111,23.7336,24,75,190
Jerry Buchek,R,71,185,0.22,22,22.22,25.7994,26,69,182
Ivan DeJesus,R,71,175,0.254,21,21.254,24.4049,24,69,174
Gary Nolan,R,74,197,0.138,1,1.138,25.2905,25,73,190
Gil Patterson,R,73,185,0,0,0,24.4051,24,71,182
Fred Whitfield,L,73,190,0.253,108,108.253,25.0647,25,71,190
Larry Dierker,R,76,215,0.136,4,4.136,26.1678,26,75,213
Dave Skaggs,R,74,200,0.241,3,3.241,25.6757,26,73,198
Dick Ruthven,R,75,190,0.183,1,1.183,23.7458,24,73,190
Jerry Garvin,L,75,195,0,0,0,24.3707,24,73,190
Steve Eddy,R,74,185,0,0,0,23.75,24,73,182
Dave Kingman,R,78,210,0.236,442,442.236,24.2653,24,77,205
Eric Soderholm,R,71,187,0.264,102,102.264,26.0784,26,69,182
Kevin Mmahat,L,77,220,0,0,0,26.0853,26,75,213
Ed Brinkman,R,72,170,0.224,60,60.224,23.0536,23,71,166
Wayne Garrett,L,71,175,0.239,61,61.239,24.4049,24,69,174
Tony Muser,L,74,180,0.259,7,7.259,23.1081,23,73,174
Jim Siwy,R,76,200,0,0,0,24.3421,24,75,198
Bud Anderson,R,75,210,0,0,0,26.2453,26,73,205
Ted Ford,R,70,180,0.219,17,17.219,25.8245,26,69,174
Kevin Stanfield,L,72,190,0,0,0,25.7658,26,71,190
Jim Lyttle,L,72,180,0.248,9,9.248,24.4097,24,71,174
John Butcher,R,76,185,0,0,0,22.5164,23,75,182
Jerry Ujdur,R,73,195,0,0,0,25.7243,26,71,190
Scot Thompson,L,75,195,0.262,5,5.262,24.3707,24,73,190
